SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf216,B158,top,0,601777.65,15336435.04,17.01,0.00,0.00,1.00,86.49,roofs,1125164.36,0.00,30.00,2.55,0.00,16.15,5,6,10,roofs_top,srf216
srf217,B158,top,0,601777.97,15336445.04,17.01,0.00,0.00,1.00,78.13,roofs,1123748.30,0.00,30.00,2.55,0.00,14.59,5,6,10,roofs_top,srf217
srf218,B158,top,0,601774.00,15336455.04,17.01,0.00,0.00,1.00,17.12,roofs,1121414.15,0.00,30.00,2.55,0.00,3.20,5,6,10,roofs_top,srf218
srf219,B158,top,0,601774.36,15336465.04,17.01,0.00,0.00,1.00,24.31,roofs,1121242.89,0.00,30.00,2.55,0.00,4.54,5,6,10,roofs_top,srf219
srf220,B158,top,0,601774.72,15336475.04,17.01,0.00,0.00,1.00,31.49,roofs,1118130.17,0.00,30.00,2.55,0.00,5.88,5,6,10,roofs_top,srf220
srf221,B158,top,0,601774.83,15336481.74,17.01,0.00,0.00,1.00,11.46,roofs,1118092.81,0.00,30.00,2.55,0.00,2.14,5,6,10,roofs_top,srf221
srf222,B158,top,0,601767.97,15336435.36,17.01,0.00,0.00,1.00,89.69,roofs,1123301.82,0.00,30.00,2.55,0.00,16.75,5,6,10,roofs_top,srf222
srf223,B158,top,0,601767.97,15336445.04,17.01,0.00,0.00,1.00,100.00,roofs,1116798.35,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf223
srf224,B158,top,0,601767.97,15336455.04,17.01,0.00,0.00,1.00,100.00,roofs,1114159.71,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf224
srf225,B158,top,0,601767.97,15336465.04,17.01,0.00,0.00,1.00,100.00,roofs,1109064.28,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf225
srf226,B158,top,0,601767.97,15336475.04,17.01,0.00,0.00,1.00,97.42,roofs,1105179.43,0.00,30.00,2.55,0.00,18.20,5,6,10,roofs_top,srf226
srf227,B158,top,0,601768.30,15336482.31,17.01,0.00,0.00,1.00,36.48,roofs,1108362.08,0.00,30.00,2.55,0.00,6.81,5,6,10,roofs_top,srf227
srf228,B158,top,0,601761.27,15336435.75,17.01,0.00,0.00,1.00,25.77,roofs,1101413.64,0.00,30.00,2.55,0.00,4.81,5,6,10,roofs_top,srf228
srf229,B158,top,0,601761.62,15336445.04,17.01,0.00,0.00,1.00,22.74,roofs,1100934.97,0.00,30.00,2.55,0.00,4.25,5,6,10,roofs_top,srf229
srf230,B158,top,0,601762.04,15336455.04,17.01,0.00,0.00,1.00,14.36,roofs,1101413.21,0.00,30.00,2.55,0.00,2.68,5,6,10,roofs_top,srf230
srf231,B158,top,0,601762.46,15336465.04,17.01,0.00,0.00,1.00,5.99,roofs,1091733.99,0.00,30.00,2.55,0.00,1.12,5,6,10,roofs_top,srf231
srf232,B158,top,0,601762.88,15336471.12,17.01,0.00,0.00,1.00,0.19,roofs,1093305.69,0.00,30.00,2.55,0.00,0.04,5,6,10,roofs_top,srf232
