SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf693,B099,top,0,601332.26,15336424.43,21.01,0.00,0.00,1.00,57.41,roofs,1128172.32,0.00,30.00,2.55,0.00,5.36,5,6,10,roofs_top,srf693
srf694,B099,top,0,601332.51,15336434.43,21.01,0.00,0.00,1.00,67.91,roofs,1128891.47,0.00,30.00,2.55,0.00,6.34,5,6,10,roofs_top,srf694
srf695,B099,top,0,601332.77,15336444.43,21.01,0.00,0.00,1.00,72.98,roofs,1127604.40,0.00,30.00,2.55,0.00,6.82,5,6,10,roofs_top,srf695
srf696,B099,top,0,601333.02,15336454.43,21.01,0.00,0.00,1.00,78.04,roofs,1126969.05,0.00,30.00,2.55,0.00,7.29,5,6,10,roofs_top,srf696
srf697,B099,top,0,601333.27,15336464.43,21.01,0.00,0.00,1.00,83.11,roofs,1127115.49,0.00,30.00,2.55,0.00,7.76,5,6,10,roofs_top,srf697
srf698,B099,top,0,601333.53,15336474.43,21.01,0.00,0.00,1.00,88.18,roofs,1129347.48,0.00,30.00,2.55,0.00,8.24,5,6,10,roofs_top,srf698
srf699,B099,top,0,601333.78,15336484.43,21.01,0.00,0.00,1.00,93.24,roofs,1125217.43,0.00,30.00,2.55,0.00,8.71,5,6,10,roofs_top,srf699
srf700,B099,top,0,601333.99,15336493.59,21.01,0.00,0.00,1.00,79.62,roofs,1123242.16,0.00,30.00,2.55,0.00,7.44,5,6,10,roofs_top,srf700
srf701,B099,top,0,601326.15,15336425.33,21.01,0.00,0.00,1.00,39.31,roofs,1128667.01,0.00,30.00,2.55,0.00,3.67,5,6,10,roofs_top,srf701
srf702,B099,top,0,601323.99,15336434.43,21.01,0.00,0.00,1.00,87.06,roofs,1129924.16,0.00,30.00,2.55,0.00,8.13,5,6,10,roofs_top,srf702
srf703,B099,top,0,601323.99,15336444.43,21.01,0.00,0.00,1.00,68.26,roofs,1130004.02,0.00,30.00,2.55,0.00,6.37,5,6,10,roofs_top,srf703
srf704,B099,top,0,601319.51,15336439.67,21.01,0.00,0.00,1.00,0.26,roofs,1129644.21,0.00,30.00,2.55,0.00,0.02,5,6,10,roofs_top,srf704
srf705,B099,top,0,601323.99,15336454.43,21.01,0.00,0.00,1.00,100.00,roofs,1129403.28,0.00,30.00,2.55,0.00,9.34,5,6,10,roofs_top,srf705
srf706,B099,top,0,601323.99,15336464.43,21.01,0.00,0.00,1.00,100.00,roofs,1129122.14,0.00,30.00,2.55,0.00,9.34,5,6,10,roofs_top,srf706
srf707,B099,top,0,601323.99,15336474.43,21.01,0.00,0.00,1.00,100.00,roofs,1130186.05,0.00,30.00,2.55,0.00,9.34,5,6,10,roofs_top,srf707
srf708,B099,top,0,601323.99,15336484.43,21.01,0.00,0.00,1.00,100.00,roofs,1126969.18,0.00,30.00,2.55,0.00,9.34,5,6,10,roofs_top,srf708
srf709,B099,top,0,601323.99,15336493.40,21.01,0.00,0.00,1.00,77.48,roofs,1127685.06,0.00,30.00,2.55,0.00,7.24,5,6,10,roofs_top,srf709
srf710,B099,top,0,601318.37,15336434.91,21.01,0.00,0.00,1.00,8.04,roofs,1129750.15,0.00,30.00,2.55,0.00,0.75,5,6,10,roofs_top,srf710
srf711,B099,top,0,601318.72,15336439.79,21.01,0.00,0.00,1.00,0.32,roofs,1129584.92,0.00,30.00,2.55,0.00,0.03,5,6,10,roofs_top,srf711
srf712,B099,top,0,601317.01,15336447.28,21.01,0.00,0.00,1.00,15.77,roofs,1129956.86,0.00,30.00,2.55,0.00,1.47,5,6,10,roofs_top,srf712
srf713,B099,top,0,601317.17,15336454.43,21.01,0.00,0.00,1.00,32.49,roofs,1129638.86,0.00,30.00,2.55,0.00,3.03,5,6,10,roofs_top,srf713
srf714,B099,top,0,601317.56,15336464.43,21.01,0.00,0.00,1.00,24.71,roofs,1129019.88,0.00,30.00,2.55,0.00,2.31,5,6,10,roofs_top,srf714
srf715,B099,top,0,601317.95,15336474.43,21.01,0.00,0.00,1.00,16.93,roofs,1130027.57,0.00,30.00,2.55,0.00,1.58,5,6,10,roofs_top,srf715
srf716,B099,top,0,601318.34,15336484.43,21.01,0.00,0.00,1.00,9.15,roofs,1130087.73,0.00,30.00,2.55,0.00,0.85,5,6,10,roofs_top,srf716
srf717,B099,top,0,601318.73,15336492.80,21.01,0.00,0.00,1.00,1.77,roofs,1127187.89,0.00,30.00,2.55,0.00,0.17,5,6,10,roofs_top,srf717
