Date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,Area_PV_m2
2016-01-01 00:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 01:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 02:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 03:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 04:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 05:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 06:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 07:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 08:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 09:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 10:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 11:00:00+01:00,0,0,0,0,1.20,119.98,0,0,0,0,1.20,8.20,119.98
2016-01-01 12:00:00+01:00,0,0,0,0,1.85,119.98,0,0,0,0,1.85,12.67,119.98
2016-01-01 13:00:00+01:00,0,0,0,0,2.10,119.98,0,0,0,0,2.10,14.65,119.98
2016-01-01 14:00:00+01:00,0,0,0,0,1.78,119.98,0,0,0,0,1.78,12.36,119.98
2016-01-01 15:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 16:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 17:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 18:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 19:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 20:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 21:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 22:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-01 23:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 00:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 01:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 02:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 03:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 04:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 05:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 06:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 07:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 08:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 09:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 10:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 11:00:00+01:00,0,0,0,0,1.41,119.98,0,0,0,0,1.41,9.61,119.98
2016-01-02 12:00:00+01:00,0,0,0,0,2.00,119.98,0,0,0,0,2.00,13.74,119.98
2016-01-02 13:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 14:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 15:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
2016-01-02 16:00:00+01:00,0,0,0,0,0.00,119.98,0,0,0,0,0.00,0.00,119.98
