Date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,Area_PV_m2
2016-01-01 00:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 01:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 02:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 03:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 04:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 05:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 06:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 07:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 08:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 09:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 10:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 11:00:00+01:00,0,0,0,0,4.78,494.54,0,0,0,0,4.78,32.59,494.54
2016-01-01 12:00:00+01:00,0,0,0,0,7.35,494.54,0,0,0,0,7.35,50.28,494.54
2016-01-01 13:00:00+01:00,0,0,0,0,8.30,494.54,0,0,0,0,8.30,57.95,494.54
2016-01-01 14:00:00+01:00,0,0,0,0,7.04,494.54,0,0,0,0,7.04,48.80,494.54
2016-01-01 15:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 16:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 17:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 18:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 19:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 20:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 21:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 22:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-01 23:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 00:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 01:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 02:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 03:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 04:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 05:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 06:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 07:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 08:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 09:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 10:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 11:00:00+01:00,0,0,0,0,5.59,494.54,0,0,0,0,5.59,38.15,494.54
2016-01-02 12:00:00+01:00,0,0,0,0,7.94,494.54,0,0,0,0,7.94,54.46,494.54
2016-01-02 13:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 14:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 15:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 16:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 17:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 18:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 19:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 20:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 21:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 22:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-02 23:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 00:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 01:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 02:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 03:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 04:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 05:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 06:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 07:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 08:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 09:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 10:00:00+01:00,0,0,0,0,5.86,494.54,0,0,0,0,5.86,60.24,494.54
2016-01-03 11:00:00+01:00,0,0,0,0,8.21,494.54,0,0,0,0,8.21,60.81,494.54
2016-01-03 12:00:00+01:00,0,0,0,0,9.09,494.54,0,0,0,0,9.09,85.12,494.54
2016-01-03 13:00:00+01:00,0,0,0,0,7.54,494.54,0,0,0,0,7.54,130.58,494.54
2016-01-03 14:00:00+01:00,0,0,0,0,6.24,494.54,0,0,0,0,6.24,68.28,494.54
2016-01-03 15:00:00+01:00,0,0,0,0,4.68,494.54,0,0,0,0,4.68,37.24,494.54
2016-01-03 16:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 17:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 18:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 19:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 20:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 21:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 22:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-03 23:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 00:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 01:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 02:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 03:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 04:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 05:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 06:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
2016-01-04 07:00:00+01:00,0,0,0,0,0.00,494.54,0,0,0,0,0.00,0.00,494.54
