SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf288,B151,top,0,601717.23,15336419.27,24.01,0.00,0.00,1.00,85.70,roofs,1130191.07,0.00,30.00,2.55,0.00,24.01,5,6,10,roofs_top,srf288
srf289,B151,top,0,601717.60,15336429.27,24.01,0.00,0.00,1.00,96.23,roofs,1130018.51,0.00,30.00,2.55,0.00,26.96,5,6,10,roofs_top,srf289
srf290,B151,top,0,601716.85,15336434.63,24.01,0.00,0.00,1.00,3.07,roofs,1130216.98,0.00,30.00,2.55,0.00,0.86,5,6,10,roofs_top,srf290
srf291,B151,top,0,601707.60,15336419.63,24.01,0.00,0.00,1.00,88.47,roofs,1130279.38,0.00,30.00,2.55,0.00,24.79,5,6,10,roofs_top,srf291
srf292,B151,top,0,601707.60,15336429.27,24.01,0.00,0.00,1.00,100.00,roofs,1130319.93,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf292
srf293,B151,top,0,601707.60,15336435.05,24.01,0.00,0.00,1.00,11.50,roofs,1129976.33,0.00,30.00,2.55,0.00,3.22,5,6,10,roofs_top,srf293
srf294,B151,top,0,601697.60,15336420.06,24.01,0.00,0.00,1.00,79.94,roofs,1130452.27,0.00,30.00,2.55,0.00,22.40,5,6,10,roofs_top,srf294
srf295,B151,top,0,601697.60,15336429.27,24.01,0.00,0.00,1.00,100.00,roofs,1130293.46,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf295
srf296,B151,top,0,601697.60,15336435.48,24.01,0.00,0.00,1.00,20.02,roofs,1130191.33,0.00,30.00,2.55,0.00,5.61,5,6,10,roofs_top,srf296
srf297,B151,top,0,601687.60,15336420.48,24.01,0.00,0.00,1.00,71.40,roofs,1130404.60,0.00,30.00,2.55,0.00,20.00,5,6,10,roofs_top,srf297
srf298,B151,top,0,601687.60,15336429.27,24.01,0.00,0.00,1.00,100.00,roofs,1130509.24,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf298
srf299,B151,top,0,601687.60,15336435.91,24.01,0.00,0.00,1.00,28.54,roofs,1130819.86,0.00,30.00,2.55,0.00,8.00,5,6,10,roofs_top,srf299
srf300,B151,top,0,601681.42,15336420.91,24.01,0.00,0.00,1.00,14.05,roofs,1131037.97,0.00,30.00,2.55,0.00,3.94,5,6,10,roofs_top,srf300
srf301,B151,top,0,601681.66,15336429.27,24.01,0.00,0.00,1.00,15.24,roofs,1130822.16,0.00,30.00,2.55,0.00,4.27,5,6,10,roofs_top,srf301
srf302,B151,top,0,601682.02,15336435.95,24.01,0.00,0.00,1.00,3.46,roofs,1130153.69,0.00,30.00,2.55,0.00,0.97,5,6,10,roofs_top,srf302
