Date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,Area_PV_m2
2016-01-01 00:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 01:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 02:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 03:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 04:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 05:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 06:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 07:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 08:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 09:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 10:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 11:00:00+01:00,0,0,0,0,2.15,212.11,0,0,0,0,2.15,14.62,212.11
2016-01-01 12:00:00+01:00,0,0,0,0,3.30,212.11,0,0,0,0,3.30,22.57,212.11
2016-01-01 13:00:00+01:00,0,0,0,0,3.73,212.11,0,0,0,0,3.73,26.04,212.11
2016-01-01 14:00:00+01:00,0,0,0,0,3.17,212.11,0,0,0,0,3.17,22.00,212.11
2016-01-01 15:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 16:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 17:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 18:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 19:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 20:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 21:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 22:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-01 23:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 00:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 01:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 02:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 03:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 04:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 05:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 06:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 07:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 08:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 09:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 10:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 11:00:00+01:00,0,0,0,0,2.51,212.11,0,0,0,0,2.51,17.13,212.11
2016-01-02 12:00:00+01:00,0,0,0,0,3.57,212.11,0,0,0,0,3.57,24.46,212.11
2016-01-02 13:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 14:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 15:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 16:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 17:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 18:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 19:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 20:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 21:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 22:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-02 23:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 00:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 01:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 02:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 03:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 04:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 05:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 06:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 07:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 08:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 09:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 10:00:00+01:00,0,0,0,0,2.97,212.11,0,0,0,0,2.97,30.61,212.11
2016-01-03 11:00:00+01:00,0,0,0,0,3.88,212.11,0,0,0,0,3.88,28.73,212.11
2016-01-03 12:00:00+01:00,0,0,0,0,4.30,212.11,0,0,0,0,4.30,40.26,212.11
2016-01-03 13:00:00+01:00,0,0,0,0,3.59,212.11,0,0,0,0,3.59,62.23,212.11
2016-01-03 14:00:00+01:00,0,0,0,0,3.23,212.11,0,0,0,0,3.23,35.48,212.11
2016-01-03 15:00:00+01:00,0,0,0,0,2.35,212.11,0,0,0,0,2.35,18.68,212.11
2016-01-03 16:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 17:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 18:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 19:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
2016-01-03 20:00:00+01:00,0,0,0,0,0.00,212.11,0,0,0,0,0.00,0.00,212.11
